section name,section type,size
.sramboottext,text,112
.sramtext,text,298
.sramtext.irq.220,text,76
.sramtext.profile.95,text,148
.sramtext.profile.146,text,28
.sramtext.profile.161,text,4
.sramtext.profile.172,text,18
.sramtext.profile.183,text,22
.ramtext.flashdrv.148,text,64
.ramtext.flashdrv.306,text,54
.ramtext.flashdrv.258,text,220
.ramtext.flashdrv.332,text,56
.ramtext.flashdrv.359,text,192
.ramtext.flashdrv.645,text,416
.ramtext.flashdrv.716,text,388
.ramtext.flashhal.1042,text,230
.ramtext.flashhal.180,text,30
.ramtext.flashhal.376,text,20
.ramtext.flashhal.392,text,36
.ramtext.flashhal.174,text,22
.ramtext.flashhal.575,text,10
.ramtext.flashhal.583,text,10
.ramtext.flashhal.591,text,10
.ramtext.flashhal.599,text,10
.ramtext.flashhal.566,text,24
.ramtext.flashhal.557,text,24
.ramtext.flashhal.548,text,24
.ramtext.flashhal.960,text,24
.ramtext.flashhal.162,text,18
.ramtext.flashhal.409,text,26
.ramtext.flashhal.460,text,36
.ramtext.flashhal.539,text,28
.ramtext.flashhal.433,text,94
.ramtext.flashhal.1121,text,10
.ramtext.flashhal.477,text,348
.ramtext.flashhal.513,text,108
.ramtext.flashhal.1129,text,10
.ramtext.flashhal.1137,text,10
.ramtext.flashhal.1145,text,10
.ramtext.flashhal.1170,text,26
.ramtext.flashhal.1206,text,38
.ramtext.flashhal.1219,text,16
.ramtext.flashhal.1178,text,106
.ramtext.flashhal.1342,text,396
.ramtext.flashhal.1458,text,320
.ramtext.flashhal.118,text,68
.ramtext.flashhal.141,text,68
.ramtext.flashhal.164,text,68
.ramtext.flashhal.223,text,60
.ramtext.flashhal.78,text,52
.ramtext.flashhal.97,text,60
.ramtext,text,76
.text.access,text,44
.text.atof,text,6
.text.atoi,text,8
.text.atol,text,8
.text.bsearch,text,70
.rodata._ctype_,rodata,257
.text.div,text,48
.text.quorem,text,294
.rodata._dtoa_r.str1.1,rodata,13
.text._dtoa_r,text,2640
.text.__env_lock,text,12
.text.__env_unlock,text,12
.text.__errno,text,8
.text._fclose_r,text,168
.text.fclose,text,18
.text.__sflush_r,text,284
.text._fflush_r,text,74
.text.fflush,text,44
.text.std,text,80
.text._cleanup_r,text,12
.text.__sfmoreglue,text,44
.text.__sfp_lock_acquire,text,12
.text.__sfp_lock_release,text,12
.text.__sinit_lock_acquire,text,12
.text.__sinit_lock_release,text,12
.text.__sinit,text,80
.text.__sfp,text,140
.text.__sflags,text,108
.text._fopen_r,text,168
.text.fopen,text,22
.text._fputc_r,text,70
.text.fputc,text,22
.text.__fputwc,text,130
.text._fputwc_r,text,82
.text._fread_r,text,212
.text.fread,text,30
.text._fseek_r,text,4
.text.fseek,text,26
.text._fseeko_r,text,664
.text.ftell,text,18
.text._ftello_r,text,192
